Date,Open,High,Low,Close,Adj Close,Volume
2016-08-22,108.860001,109.099998,107.849998,107.047852,108.510002,25820200
2016-08-23,108.589996,109.32,108.529999,107.38326299999999,108.849998,21257700
2016-08-24,108.57,108.75,107.68,106.57431799999999,108.029999,23675100
2016-08-25,107.389999,107.879997,106.68,106.12051399999999,107.57,25086200
2016-08-26,107.410004,107.949997,106.309998,105.499008,106.940002,27766300
2016-08-29,106.620003,107.440002,106.290001,105.380623,106.82,24970300
2016-08-30,105.800003,106.5,105.5,104.571663,106.0,24863900
2016-08-31,105.660004,106.57,105.639999,104.67031899999999,106.099998,29662400
2016-09-01,106.139999,106.800003,105.620003,105.29184,106.730003,26701500
2016-09-02,107.699997,108.0,106.82,106.27836599999999,107.730003,26802500
2016-09-06,107.900002,108.300003,107.510002,106.248756,107.699997,26880400
2016-09-07,107.83000200000001,108.760002,107.07,106.899872,108.360001,42364300
2016-09-08,107.25,107.269997,105.239998,104.098145,105.519997,53002000
2016-09-09,104.639999,105.720001,103.129997,101.740341,103.129997,46557000
2016-09-12,102.650002,105.720001,102.529999,104.01921800000001,105.440002,45292800
2016-09-13,107.510002,108.790001,107.239998,106.495399,107.949997,62176200
2016-09-14,108.730003,113.029999,108.599998,110.263916,111.769997,110888700
2016-09-15,113.860001,115.730003,113.489998,114.01271799999999,115.57,89983600
2016-09-16,115.120003,116.129997,114.040001,113.371475,114.91999799999999,79886900
2016-09-19,115.190002,116.18,113.25,112.04953,113.58000200000001,47023000
2016-09-20,113.050003,114.120003,112.510002,112.03966499999999,113.57,34514300
2016-09-21,113.849998,113.989998,112.440002,112.01993600000002,113.550003,36003200
2016-09-22,114.349998,114.940002,114.0,113.075523,114.620003,31074000
2016-09-23,114.41999799999999,114.790001,111.550003,111.191254,112.709999,52481200
2016-09-26,111.639999,113.389999,111.550003,111.35895500000001,112.879997,29869400
2016-09-27,113.0,113.18,112.339996,111.566124,113.089996,24607400
2016-09-28,113.690002,114.639999,113.43,112.414543,113.949997,29641100
2016-09-29,113.160004,113.800003,111.800003,110.668396,112.18,35887000
2016-09-30,112.459999,113.370003,111.800003,111.52668,113.050003,36379100
2016-10-03,112.709999,113.050003,112.279999,111.00380700000001,112.519997,21701800
2016-10-04,113.059998,114.309998,112.629997,111.47734799999999,113.0,29736800
2016-10-05,113.400002,113.660004,112.690002,111.52668,113.050003,21453100
2016-10-06,113.699997,114.339996,113.129997,112.355354,113.889999,28779300
2016-10-07,114.309998,114.559998,113.510002,112.52306399999999,114.059998,24358400
